z,Time,ISM,Stars,H,He,C,N,O,Fe
0.0,0.0,1000000000000.0,1000591414746.6248,760000000000.0,240000000000.0,0.0,0.0,0.0,0.0
0.025025025025025027,334849257.3499494,1960729377749.2874,39635928195.76696,724896917277.8267,228914815982.4721,2186735503.328411,2186735503.328411,2029586193.062279,514587289.25878364
0.05005005005005005,649867846.0344107,1960768484105.937,39579240449.1086,724926637975.2606,228924201465.87238,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.07507507507507508,946661877.4513471,1960781426426.856,39566298128.189644,724936474139.1593,228927307622.89304,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.1001001001001001,1226674002.0656018,1960787515199.5132,39560209355.53206,724941101606.3792,228928768928.33087,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.12512512512512514,1491203292.358743,1960791095806.2725,39556628748.77255,724943822867.5162,228929628273.9532,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.15015015015015015,1741422329.4404356,1960793526149.9055,39554198405.1391,724945669928.6779,228930211556.42517,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.1751751751751752,1978391937.4838398,1960795108260.0981,39552616294.94629,724946872332.4246,228930591262.87146,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.2002002002002002,2203073931.8510184,1960796276007.645,39551448547.399284,724947759820.5603,228930871522.28275,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.22522522522522523,2416342183.590002,1960797115301.0815,39550609253.9625,724948397683.5723,228931072952.70758,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.2502502502502503,2618992251.753238,1960797873212.0999,39549851342.944275,724948973695.946,228931254851.352,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.2752752752752753,2811749793.2576365,1960798389946.8574,39549334608.18678,724949366414.3618,228931378867.6938,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.3003003003003003,2995277925.868547,1960798710502.686,39549014052.358376,724949610036.7915,228931455801.0926,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.3253253253253253,3170183691.8459387,1960799156371.9622,39548568183.08232,724949948897.4412,228931562809.71884,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.3503503503503504,3337023746.6608057,1960799430867.1028,39548293687.94157,724950157513.7482,228931628688.5526,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.3753753753753754,3496309378.03897,1960799687617.5007,39548036937.543564,724950352644.0507,228931690308.64813,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.4004004004004004,3648510944.6747556,1960799809462.859,39547915092.1854,724950445246.5228,228931719551.5341,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.42542542542542544,3794061810.6846285,1960800040346.8838,39547684208.160484,724950620718.3818,228931774963.70007,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.45045045045045046,3933361840.764367,1960800149488.1982,39547575066.84599,724950703665.7809,228931801157.61554,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.47547547547547553,4066780511.688445,1960800355429.7864,39547369125.25802,724950860181.3877,228931850583.59665,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.5005005005005005,4194659687.9366083,1960800452335.7349,39547272219.30953,724950933829.9086,228931873841.0243,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.5255255255255256,4317316102.597659,1960800545269.777,39547179285.26739,724951004459.7806,228931896145.1944,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.5505505505505506,4435043579.07858,1960800634286.0762,39547090268.9682,724951072112.168,228931917509.1062,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.5755755755755756,4548115024.370096,1960800719439.3442,39547005115.70002,724951136828.6517,228931937945.89056,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.6006006006006006,4656784220.549403,1960800800784.8525,39546923770.191734,724951198651.238,228931957468.81256,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.6256256256256256,4761287437.723388,1960800800784.8525,39546923770.191734,724951198651.238,228931957468.81256,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.6506506506506506,4861844888.637072,1960800878378.4421,39546846176.60222,724951257622.3661,228931976091.27405,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.6756756756756758,4958662042.614498,1960800952276.5352,39546772278.50918,724951313784.9167,228931993826.81638,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
0.7007007007007008,5051930814.297849,1960800952276.5352,39546772278.50918,724951313784.9167,228931993826.81638,2186735532.6310205,2186735532.6310205,2029586222.364889,514587377.1666127
