z,Time,ISM,Stars,H,He,C,N,O,Fe
9.32132132132132,8922549904.013065,2913733609769.9946,230551484417.76862,1371298718152.2717,454392147690.52,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.333333333333334,8923033547.34297,2913733609769.9946,230549327387.50656,1371298718152.2717,454392147690.52,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.345345345345345,8923515787.18119,2913757705733.322,230529504787.29132,1371317031084.4006,454397930721.71857,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.357357357357357,8923996629.223051,2913757705733.322,230527298738.71585,1371317031084.4006,454397930721.71857,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.36936936936937,8924476079.1342,2913757705733.322,230526174543.72928,1371317031084.4006,454397930721.71857,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.381381381381381,8924954142.550793,2913781811644.569,230506346177.21494,1371335351576.9482,454403716140.41785,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.393393393393394,8925430825.079681,2913781811644.569,230504137895.81125,1371335351576.9482,454403716140.41785,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.405405405405405,8925906132.2986,2913805927488.963,230484258780.21918,1371353679618.6877,454409503943.07245,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.417417417417417,8926380069.756344,2913805927488.963,230483178459.2222,1371353679618.6877,454409503943.07245,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.42942942942943,8926852642.972967,2913805927488.963,230480967936.24814,1371353679618.6877,454409503943.07245,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.441441441441441,8927323857.439947,2913830053251.2817,230460095402.5167,1371372015198.0503,454415294126.029,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.453453453453454,8927793718.62038,2913830053251.2817,230459013983.42142,1371372015198.0503,454415294126.029,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.465465465465465,8928262231.94915,2913830053251.2817,230456801210.0751,1371372015198.0503,454415294126.029,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.477477477477477,8928729402.833107,2913854188915.846,230435921976.44437,1371390358303.1194,454421086685.5245,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.48948948948949,8929195236.651253,2913854188915.846,230434839454.93307,1371390358303.1194,454421086685.5245,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.501501501501501,8929659738.754908,2913854188915.846,230432624422.35217,1371390358303.1194,454421086685.5245,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.513513513513514,8930122914.467886,2913878334466.512,230411738517.15546,1371408708921.6255,454426881617.68427,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.525525525525525,8930584769.086668,2913878334466.512,230410654888.8807,1371408708921.6255,454426881617.68427,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.537537537537537,8931045307.880575,2913878334466.512,230408437588.14197,1371408708921.6255,454426881617.68427,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.54954954954955,8931504536.091936,2913902489886.662,230387545040.26645,1371427067040.9395,454432678918.52026,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.561561561561561,8931962458.936256,2913902489886.662,230386460300.85092,1371427067040.9395,454432678918.52026,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.573573573573574,8932419081.602388,2913902489886.662,230384240722.96967,1371427067040.9395,454432678918.52026,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.585585585585585,8932874409.252695,2913926655159.198,230363341561.86508,1371445432648.067,454438478583.9289,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.597597597597597,8933328447.023212,2913926655159.198,230362255706.9012,1371445432648.067,454438478583.9289,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.60960960960961,8933781200.023825,2913926655159.198,230360033842.83054,1371445432648.067,454438478583.9289,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.621621621621621,8934232673.338408,2913950830266.533,230339128098.51822,1371463805729.6416,454444280609.6893,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.633633633633634,8934682872.025011,2913950830266.533,230338041123.56796,1371463805729.6416,454444280609.6893,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.645645645645645,8935131801.116007,2913950830266.533,230336860460.15045,1371463805729.6416,454444280609.6893,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.657657657657657,8935579465.618248,2913975015190.5825,230315948163.23248,1371482186271.9192,454450084991.4611,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.66966966966967,8936025870.513231,2913975015190.5825,230314860063.8269,1371482186271.9192,454450084991.4611,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.681681681681681,8936471020.757252,2913975015190.5825,230313678175.41443,1371482186271.9192,454450084991.4611,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.693693693693694,8936914921.281557,2913999209912.756,230292759357.08286,1371500574260.771,454455891724.7827,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.705705705705705,8937357576.992508,2913999209912.756,230291670128.72192,1371500574260.771,454455891724.7827,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.717717717717717,8937798992.771723,2913999209912.756,230291670128.72192,1371500574260.771,454455891724.7827,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.72972972972973,8938239173.476234,2913999209912.756,230290487010.39752,1371500574260.771,454455891724.7827,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.741741741741741,8938678123.938644,2914023414413.948,230269561702.44388,1371518969681.677,454461700805.06885,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.753753753753754,8939115848.967268,2914023414413.948,230268471340.5961,1371518969681.677,454461700805.06885,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.765765765765765,8939552353.346285,2914023414413.948,230267286987.40833,1371518969681.677,454461700805.06885,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.777777777777779,8939987641.835886,2914047628674.5312,230246355222.23306,1371537372519.72,454467512227.60876,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.78978978978979,8940421719.172424,2914047628674.5312,230245263722.3352,1371537372519.72,454467512227.60876,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.801801801801801,8940854590.068556,2914047628674.5312,230245263722.3352,1371537372519.72,454467512227.60876,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
9.813813813813814,8941286259.213388,2914071852674.344,230224278109.2362,1371555782759.578,454473325987.56384,6288340983.428632,6288340983.428632,6120639497.943082,1735672928.0154777
